10.1016/j.dib.2018.04.092,"Poh, Kian Keong",11,11,0
10.1016/j.dib.2018.04.092,"Brudi, Philippe",12,12,0
10.1016/j.dib.2018.04.092,"Ambegaonkar, Baishali",13,13,0
10.1016/j.dib.2018.04.092,"Horack, Martin",14,22,8
10.1016/j.dib.2022.107847,"Bueno, Gorka",1,1,0
10.1016/j.dib.2022.107847,"de Blas, Maite",2,2,0
10.1016/j.dib.2022.107847,"Pérez-Iribarren, Estibaliz",3,3,0
10.1016/j.dib.2022.107847,"Zuazo, Iñaki",4,4,0
10.1016/j.dib.2022.107847,"Torre-Pascual, Eduardo",5,5,0
10.1016/j.dib.2022.107847,"Erauskin, Artitzar",6,6,0
10.1016/j.dib.2022.107847,"Etxano, Iker",7,7,0
10.1016/j.dib.2022.107847,"Tamayo, Unai",8,8,0
10.1016/j.dib.2022.107847,"García, María",9,9,0
10.1016/j.dib.2022.107847,"Akizu-Gardoki, Ortzi",10,10,0
10.1016/j.dib.2022.107847,"León, Iñigo",11,11,0
10.1016/j.dib.2022.107847,"Marieta, Cristina",12,12,0
10.1016/j.dib.2022.107847,"Zulueta, Gaizka",14,13,-1
10.1016/j.dib.2022.107847,"Barrio, Isaac",15,14,-1
10.1016/j.dib.2015.11.063,"Ramus, Claire",1,1,0
10.1016/j.dib.2015.11.063,"Hovasse, Agnès",2,2,0
10.1016/j.dib.2015.11.063,"Marcellin, Marlène",3,3,0
10.1016/j.dib.2015.11.063,"Hesse, Anne-Marie",4,4,0
10.1016/j.dib.2015.11.063,"Mouton-Barbosa, Emmanuelle",5,5,0
10.1016/j.dib.2015.11.063,"Bouyssié, David",6,6,0
10.1016/j.dib.2015.11.063,"Vaca, Sebastian",7,7,0
10.1016/j.dib.2015.11.063,"Carapito, Christine",8,8,0
10.1016/j.dib.2015.11.063,"Bruley, Christophe",9,9,0
10.1016/j.dib.2015.11.063,"Garin, Jérôme",10,10,0
10.1016/j.dib.2015.11.063,"Cianférani, Sarah",11,11,0
10.1016/j.dib.2015.11.063,"Ferro, Myriam",12,12,0
10.1016/j.dib.2015.11.063,"Burlet-Schiltz, Odile",14,14,0
10.1016/j.dib.2015.11.063,"Schaeffer, Christine",15,15,0
10.1016/j.dib.2015.11.063,"Couté, Yohann",16,16,0
10.1016/j.dib.2015.11.063,"Gonzalez De Peredo, Anne",17,17,0
10.1016/j.dib.2015.11.063,"Chaoui, Karima",18,18,0
10.1016/j.dib.2021.107615,"Donfack, Laura Somenguem",1,1,0
10.1016/j.dib.2021.107615,"Röll, Alexander",2,2,0
10.1016/j.dib.2021.107615,"Ellsäßer, Florian",3,3,0
10.1016/j.dib.2021.107615,"Ehbrecht, Martin",4,4,0
10.1016/j.dib.2021.107615,"Irawan, Bambang",5,5,0
10.1016/j.dib.2021.107615,"Hölscher, Dirk",6,6,0
10.1016/j.dib.2021.107615,"Knohl, Alexander",7,7,0
10.1016/j.dib.2021.107615,"Kreft, Holger",8,8,0
10.1016/j.dib.2021.107615,"Sundawati, Leti",9,9,0
10.1016/j.dib.2021.107615,"Stiegler, Christian",10,10,0
10.1016/j.dib.2021.107615,"Siahaan, Eduard J.",12,12,0
10.1016/j.dib.2015.04.022,"Selvaraj, Vellaisamy",1,1,0
10.1016/j.dib.2015.04.022,"Nepal, Niraj",2,2,0
10.1016/j.dib.2015.04.022,"Rogers, Steven",3,3,0
10.1016/j.dib.2015.04.022,"Manne, Nandini D.P.K.",4,4,0
10.1016/j.dib.2015.04.022,"Arvapalli, Ravikumar",5,5,0
10.1016/j.dib.2015.04.022,"Rice, Kevin M.",6,6,0
10.1016/j.dib.2015.04.022,"Asano, Shinichi",7,7,0
10.1016/j.dib.2015.04.022,"Fankenhanel, Erin",8,8,0
10.1016/j.dib.2015.04.022,"Shokuhfar, Tolou",9,9,0
10.1016/j.dib.2015.04.022,"Maheshwari, Mani",10,10,0
10.1016/j.dib.2015.04.022,"Blough, Eric R.",11,11,0
10.1016/j.dib.2015.04.022,"Ma, J.Y.",12,20,8
10.1016/j.dib.2015.04.023,"Selvaraj, Vellaisamy",1,1,0
10.1016/j.dib.2015.04.023,"Nepal, Niraj",2,2,0
10.1016/j.dib.2015.04.023,"Rogers, Steven",3,3,0
10.1016/j.dib.2015.04.023,"Manne, Nandini D.P.K.",4,4,0
10.1016/j.dib.2015.04.023,"Arvapalli, Ravikumar",5,5,0
10.1016/j.dib.2015.04.023,"Rice, Kevin M.",6,6,0
10.1016/j.dib.2015.04.023,"Asano, Shinichi",7,7,0
10.1016/j.dib.2015.04.023,"Fankenhanel, Erin",8,8,0
10.1016/j.dib.2015.04.023,"Shokuhfar, Tolou",9,9,0
10.1016/j.dib.2015.04.023,"Maheshwari, Mani",10,10,0
10.1016/j.dib.2015.04.023,"Blough, Eric R.",11,11,0
10.1016/j.dib.2015.04.023,"Ma, J.Y.",12,20,8
10.1016/j.dib.2018.10.104,"Dunnick, June K.",1,1,0
