10.1016/j.dib.2020.105461,S0301479720300037
10.1016/j.dib.2019.105097,S1876382019309862
10.1016/j.dib.2015.07.017,S088875431530015X
10.1016/j.dib.2021.107178,S0048969721023925
10.1016/j.dib.2018.12.030,S1369702118308058
10.1016/j.dib.2019.105096,S0928493119330619
10.1016/j.dib.2021.107179,S089598112100211X
10.1016/j.dib.2018.09.095,S0360132317303918
10.1016/j.dib.2017.09.023,S2468606917300606
10.1016/j.dib.2020.105312,S0360319919338315
10.1016/j.dib.2020.105474,S0169260719303578
10.1016/j.dib.2015.07.002,S1874391915300464
10.1016/j.dib.2021.107145,S0925838821001146
10.1016/j.dib.2021.107151,S0160412021002075
10.1016/j.dib.2020.106627,S0927025620305590
10.1016/j.dib.2021.107637,S0360544221018119
10.1016/j.dib.2017.12.045,S1062940817300657
10.1016/j.dib.2017.02.045,S1043466616305579
10.1016/j.dib.2019.104439,S0160412019302144
10.1016/j.dib.2016.06.009,S0308814616307890
10.1016/j.dib.2018.04.061,S0161589018300191
10.1016/j.dib.2019.105069,S0928493119315607
10.1016/j.dib.2019.104377,S2214426918301149
10.1016/j.dib.2019.104411,S1053811919306238
10.1016/j.dib.2016.06.021,S0308814616307105
10.1016/j.dib.2021.107186,S092575352100134X
10.1016/j.dib.2021.107192,S0960308521000687
10.1016/j.dib.2016.06.035,S0027510716300458
10.1016/j.dib.2020.106182,S2352485519307261
10.1016/j.dib.2018.11.118,S0308597X18304615
10.1016/j.dib.2017.08.026,S0303720717302873
10.1016/j.dib.2016.11.049,S0022283616303734
10.1016/j.dib.2018.08.090,S1043466618301972
10.1016/j.dib.2018.03.035,S1751616117304642
10.1016/j.dib.2017.05.011,S0300908416302814
10.1016/j.dib.2015.06.007,S030439401500395X
10.1016/j.dib.2021.107409,S0955286321002382
10.1016/j.dib.2017.05.005,S1551714416300933
10.1016/j.dib.2020.105138,S1093326319306187
10.1016/j.dib.2020.106431,S0377025720301610
10.1016/j.dib.2021.107421,S2352409X19303001
10.1016/j.dib.2016.01.061,S2212968515300222
10.1016/j.dib.2020.105886,S030626192030684X
10.1016/j.dib.2019.103815,S0964569118303211
10.1016/j.dib.2020.105892,S2352914820300526
10.1016/j.dib.2020.106343,S2211926419310938
10.1016/j.dib.2021.107353,S2352801X21000680
10.1016/j.dib.2016.11.061,S0167701216303165
10.1016/j.dib.2017.03.040,S0960076017300511
10.1016/j.dib.2021.106918,S2405844019356841
10.1016/j.dib.2018.10.121,S1878818118303840
10.1016/j.dib.2020.105879,S0308521X19308984
10.1016/j.dib.2019.01.028,S0377221718310130
10.1016/j.dib.2018.05.070,S1074742718300637
10.1016/j.dib.2017.03.054,S0891584917301132
10.1016/j.dib.2016.07.018,S1532046415001549
10.1016/j.dib.2021.107384,S0305750X2100214X
10.1016/j.dib.2019.104613,S0959652618327628
10.1016/j.dib.2019.01.014,S1053811918304166
10.1016/j.dib.2020.106394,S1353829219311517
10.1016/j.dib.2018.10.109,S1934592518304064
10.1016/j.dib.2021.106930,S0277379121000329
10.1016/j.dib.2020.105851,S014102961934739X
10.1016/j.dib.2020.105689,S2213576620300944
10.1016/j.dib.2014.09.005,S1874391914004424
10.1016/j.dib.2016.07.024,S0009898116302662
10.1016/j.dib.2018.06.010,S0272771417305449
10.1016/j.dib.2020.105716,S2352513419301668
10.1016/j.dib.2018.10.096,S138589471831742X
10.1016/j.dib.2017.10.020,S0308814617313158
10.1016/j.dib.2018.10.082,S2405580818300633
10.1016/j.dib.2019.103785,S0048969718353580
10.1016/j.dib.2020.105702,S0167732219366917
10.1016/j.dib.2016.11.101,S0009898116304466
10.1016/j.dib.2020.106545,S1631074813002294
10.1016/j.dib.2020.106223,S0032386120306972
10.1016/j.dib.2021.107555,S2214750021001566
10.1016/j.dib.2019.103975,S0301479719302294
10.1016/j.dib.2016.04.050,S0016648016300740
10.1016/j.dib.2018.08.127,S1566119918301526
10.1016/j.dib.2016.02.029,S1871678415002551
10.1016/j.dib.2020.105919,S0378778819339325
10.1016/j.dib.2020.105931,S0022283620303739
